Archivo: a280.tsp, semilla: 95215391
Permutacion Pos1: (149(Ciudad: 270)) -> Pos2: (47(Ciudad: 32)). Coste sin permutar: 29952.602961042903, Coste con permutacion: 28954.00373761154

Permutacion Pos1: (127(Ciudad: 270)) -> Pos2: (47(Ciudad: 28)). Coste sin permutar: 28954.00373761154, Coste con permutacion: 28259.526643234512

Permutacion Pos1: (28(Ciudad: 123)) -> Pos2: (48(Ciudad: 154)). Coste sin permutar: 28259.526643234512, Coste con permutacion: 27750.850334880863

Permutacion Pos1: (28(Ciudad: 26)) -> Pos2: (115(Ciudad: 154)). Coste sin permutar: 27750.850334880863, Coste con permutacion: 26965.521859823286

Permutacion Pos1: (270(Ciudad: 54)) -> Pos2: (222(Ciudad: 240)). Coste sin permutar: 26965.521859823286, Coste con permutacion: 26296.106326364

Permutacion Pos1: (273(Ciudad: 27)) -> Pos2: (120(Ciudad: 235)). Coste sin permutar: 26296.106326364, Coste con permutacion: 25762.990294990163

Permutacion Pos1: (2(Ciudad: 124)) -> Pos2: (60(Ciudad: 150)). Coste sin permutar: 25762.990294990163, Coste con permutacion: 25171.031243974674

Permutacion Pos1: (61(Ciudad: 178)) -> Pos2: (6(Ciudad: 263)). Coste sin permutar: 25171.031243974674, Coste con permutacion: 24842.586923816205

Permutacion Pos1: (47(Ciudad: 32)) -> Pos2: (149(Ciudad: 270)). Coste sin permutar: 24842.586923816205, Coste con permutacion: 24422.541956816505

Permutacion Pos1: (179(Ciudad: 192)) -> Pos2: (143(Ciudad: 65)). Coste sin permutar: 24422.541956816505, Coste con permutacion: 23946.910569024072

Permutacion Pos1: (276(Ciudad: 47)) -> Pos2: (265(Ciudad: 238)). Coste sin permutar: 23946.910569024072, Coste con permutacion: 23499.937701735136

Permutacion Pos1: (57(Ciudad: 146)) -> Pos2: (29(Ciudad: 200)). Coste sin permutar: 23499.937701735136, Coste con permutacion: 23140.404127752157

Permutacion Pos1: (261(Ciudad: 157)) -> Pos2: (20(Ciudad: 78)). Coste sin permutar: 23140.404127752157, Coste con permutacion: 22730.27521219511

Permutacion Pos1: (22(Ciudad: 38)) -> Pos2: (147(Ciudad: 159)). Coste sin permutar: 22730.27521219511, Coste con permutacion: 22413.88343163781

Permutacion Pos1: (75(Ciudad: 63)) -> Pos2: (151(Ciudad: 193)). Coste sin permutar: 22413.88343163781, Coste con permutacion: 22107.550287746017

Permutacion Pos1: (99(Ciudad: 181)) -> Pos2: (14(Ciudad: 271)). Coste sin permutar: 22107.550287746017, Coste con permutacion: 21792.903170223508

Permutacion Pos1: (93(Ciudad: 208)) -> Pos2: (100(Ciudad: 111)). Coste sin permutar: 21792.903170223508, Coste con permutacion: 21622.029784026214

Permutacion Pos1: (102(Ciudad: 54)) -> Pos2: (222(Ciudad: 115)). Coste sin permutar: 21622.029784026214, Coste con permutacion: 21288.542072292847

Permutacion Pos1: (1(Ciudad: 212)) -> Pos2: (130(Ciudad: 177)). Coste sin permutar: 21288.542072292847, Coste con permutacion: 21033.752285792918

Permutacion Pos1: (177(Ciudad: 91)) -> Pos2: (182(Ciudad: 42)). Coste sin permutar: 21033.752285792918, Coste con permutacion: 20707.787415287617

Permutacion Pos1: (244(Ciudad: 203)) -> Pos2: (70(Ciudad: 69)). Coste sin permutar: 20707.787415287617, Coste con permutacion: 20469.298131248892

Permutacion Pos1: (113(Ciudad: 11)) -> Pos2: (200(Ciudad: 113)). Coste sin permutar: 20469.298131248892, Coste con permutacion: 20117.055777553025

Permutacion Pos1: (244(Ciudad: 145)) -> Pos2: (51(Ciudad: 69)). Coste sin permutar: 20117.055777553025, Coste con permutacion: 19942.70725866166

Permutacion Pos1: (158(Ciudad: 63)) -> Pos2: (151(Ciudad: 215)). Coste sin permutar: 19942.70725866166, Coste con permutacion: 19700.932180909425

Permutacion Pos1: (173(Ciudad: 122)) -> Pos2: (37(Ciudad: 67)). Coste sin permutar: 19700.932180909425, Coste con permutacion: 19480.941959107317

Permutacion Pos1: (155(Ciudad: 18)) -> Pos2: (62(Ciudad: 88)). Coste sin permutar: 19480.941959107317, Coste con permutacion: 19291.60860797608

Permutacion Pos1: (232(Ciudad: 112)) -> Pos2: (126(Ciudad: 29)). Coste sin permutar: 19291.60860797608, Coste con permutacion: 19115.623833284557

Permutacion Pos1: (214(Ciudad: 66)) -> Pos2: (239(Ciudad: 9)). Coste sin permutar: 19115.623833284557, Coste con permutacion: 18945.477176218265

Permutacion Pos1: (149(Ciudad: 260)) -> Pos2: (138(Ciudad: 32)). Coste sin permutar: 18945.477176218265, Coste con permutacion: 18762.1462057199

Permutacion Pos1: (107(Ciudad: 49)) -> Pos2: (231(Ciudad: 258)). Coste sin permutar: 18762.1462057199, Coste con permutacion: 18591.91344399084

Permutacion Pos1: (214(Ciudad: 27)) -> Pos2: (120(Ciudad: 9)). Coste sin permutar: 18591.91344399084, Coste con permutacion: 18305.166230026523

Permutacion Pos1: (152(Ciudad: 203)) -> Pos2: (70(Ciudad: 170)). Coste sin permutar: 18305.166230026523, Coste con permutacion: 18178.448806535212

Permutacion Pos1: (157(Ciudad: 277)) -> Pos2: (210(Ciudad: 216)). Coste sin permutar: 18178.448806535212, Coste con permutacion: 18044.774415896158

Permutacion Pos1: (55(Ciudad: 11)) -> Pos2: (200(Ciudad: 21)). Coste sin permutar: 18044.774415896158, Coste con permutacion: 17932.571267228417

Permutacion Pos1: (149(Ciudad: 53)) -> Pos2: (236(Ciudad: 32)). Coste sin permutar: 17932.571267228417, Coste con permutacion: 17814.209049912097

Permutacion Pos1: (272(Ciudad: 247)) -> Pos2: (279(Ciudad: 280)). Coste sin permutar: 17814.209049912097, Coste con permutacion: 17638.527743984338

Permutacion Pos1: (13(Ciudad: 98)) -> Pos2: (237(Ciudad: 158)). Coste sin permutar: 17638.527743984338, Coste con permutacion: 17422.773632709093

Permutacion Pos1: (27(Ciudad: 50)) -> Pos2: (248(Ciudad: 172)). Coste sin permutar: 17422.773632709093, Coste con permutacion: 17221.662608857063

Permutacion Pos1: (51(Ciudad: 159)) -> Pos2: (22(Ciudad: 145)). Coste sin permutar: 17221.662608857063, Coste con permutacion: 17008.310497603736

Permutacion Pos1: (41(Ciudad: 75)) -> Pos2: (260(Ciudad: 130)). Coste sin permutar: 17008.310497603736, Coste con permutacion: 16872.381848285924

Permutacion Pos1: (279(Ciudad: 128)) -> Pos2: (59(Ciudad: 247)). Coste sin permutar: 16872.381848285924, Coste con permutacion: 16719.578575619696

Permutacion Pos1: (10(Ciudad: 234)) -> Pos2: (214(Ciudad: 153)). Coste sin permutar: 16719.578575619696, Coste con permutacion: 16443.505971250182

Permutacion Pos1: (260(Ciudad: 148)) -> Pos2: (11(Ciudad: 75)). Coste sin permutar: 16443.505971250182, Coste con permutacion: 16279.274731209283

Permutacion Pos1: (156(Ciudad: 90)) -> Pos2: (164(Ciudad: 33)). Coste sin permutar: 16279.274731209283, Coste con permutacion: 16202.26492531173

Permutacion Pos1: (61(Ciudad: 21)) -> Pos2: (55(Ciudad: 263)). Coste sin permutar: 16202.26492531173, Coste con permutacion: 16076.279461619786

Permutacion Pos1: (235(Ciudad: 204)) -> Pos2: (129(Ciudad: 6)). Coste sin permutar: 16076.279461619786, Coste con permutacion: 15965.957042352502

Permutacion Pos1: (20(Ciudad: 92)) -> Pos2: (181(Ciudad: 269)). Coste sin permutar: 15965.957042352502, Coste con permutacion: 15809.177133314986

Permutacion Pos1: (174(Ciudad: 216)) -> Pos2: (157(Ciudad: 44)). Coste sin permutar: 15809.177133314986, Coste con permutacion: 15647.555238612716

Permutacion Pos1: (28(Ciudad: 54)) -> Pos2: (222(Ciudad: 154)). Coste sin permutar: 15647.555238612716, Coste con permutacion: 15585.967600553566

Permutacion Pos1: (83(Ciudad: 12)) -> Pos2: (199(Ciudad: 16)). Coste sin permutar: 15585.967600553566, Coste con permutacion: 15428.082457046929

Permutacion Pos1: (18(Ciudad: 87)) -> Pos2: (152(Ciudad: 140)). Coste sin permutar: 15428.082457046929, Coste con permutacion: 15314.594063676295

Permutacion Pos1: (97(Ciudad: 145)) -> Pos2: (51(Ciudad: 253)). Coste sin permutar: 15314.594063676295, Coste con permutacion: 15213.904026131286

Permutacion Pos1: (50(Ciudad: 154)) -> Pos2: (113(Ciudad: 144)). Coste sin permutar: 15213.904026131286, Coste con permutacion: 15043.235063674454

Permutacion Pos1: (129(Ciudad: 4)) -> Pos2: (160(Ciudad: 204)). Coste sin permutar: 15043.235063674454, Coste con permutacion: 14934.166045590817

Permutacion Pos1: (133(Ciudad: 216)) -> Pos2: (157(Ciudad: 256)). Coste sin permutar: 14934.166045590817, Coste con permutacion: 14877.297791158046

Permutacion Pos1: (32(Ciudad: 214)) -> Pos2: (168(Ciudad: 142)). Coste sin permutar: 14877.297791158046, Coste con permutacion: 14787.289170406257

Permutacion Pos1: (70(Ciudad: 67)) -> Pos2: (173(Ciudad: 203)). Coste sin permutar: 14787.289170406257, Coste con permutacion: 14719.33625267994

Permutacion Pos1: (30(Ciudad: 183)) -> Pos2: (67(Ciudad: 160)). Coste sin permutar: 14719.33625267994, Coste con permutacion: 14667.194483374018

Permutacion Pos1: (23(Ciudad: 10)) -> Pos2: (209(Ciudad: 138)). Coste sin permutar: 14667.194483374018, Coste con permutacion: 14609.916613225128

Permutacion Pos1: (125(Ciudad: 136)) -> Pos2: (63(Ciudad: 108)). Coste sin permutar: 14609.916613225128, Coste con permutacion: 14571.102767971064

Permutacion Pos1: (25(Ciudad: 84)) -> Pos2: (171(Ciudad: 198)). Coste sin permutar: 14571.102767971064, Coste con permutacion: 14522.51227752981

Permutacion Pos1: (45(Ciudad: 126)) -> Pos2: (64(Ciudad: 129)). Coste sin permutar: 14522.51227752981, Coste con permutacion: 14440.707494937351

Permutacion Pos1: (63(Ciudad: 7)) -> Pos2: (234(Ciudad: 136)). Coste sin permutar: 14440.707494937351, Coste con permutacion: 14375.060549690024

Permutacion Pos1: (148(Ciudad: 254)) -> Pos2: (98(Ciudad: 34)). Coste sin permutar: 14375.060549690024, Coste con permutacion: 14276.489233314498

Permutacion Pos1: (239(Ciudad: 113)) -> Pos2: (28(Ciudad: 66)). Coste sin permutar: 14276.489233314498, Coste con permutacion: 14197.224719931837

Permutacion Pos1: (14(Ciudad: 18)) -> Pos2: (44(Ciudad: 181)). Coste sin permutar: 14197.224719931837, Coste con permutacion: 14138.934275333868

Permutacion Pos1: (60(Ciudad: 18)) -> Pos2: (44(Ciudad: 137)). Coste sin permutar: 14138.934275333868, Coste con permutacion: 14069.535417298346

Permutacion Pos1: (273(Ciudad: 62)) -> Pos2: (89(Ciudad: 1)). Coste sin permutar: 14069.535417298346, Coste con permutacion: 13932.549502484524

Permutacion Pos1: (276(Ciudad: 6)) -> Pos2: (235(Ciudad: 238)). Coste sin permutar: 13932.549502484524, Coste con permutacion: 13857.394069456765

Permutacion Pos1: (4(Ciudad: 83)) -> Pos2: (184(Ciudad: 151)). Coste sin permutar: 13857.394069456765, Coste con permutacion: 13796.632797401826

Permutacion Pos1: (223(Ciudad: 185)) -> Pos2: (68(Ciudad: 68)). Coste sin permutar: 13796.632797401826, Coste con permutacion: 13744.103241023744

Permutacion Pos1: (74(Ciudad: 89)) -> Pos2: (165(Ciudad: 205)). Coste sin permutar: 13744.103241023744, Coste con permutacion: 13697.400138582769

Permutacion Pos1: (72(Ciudad: 264)) -> Pos2: (62(Ciudad: 199)). Coste sin permutar: 13697.400138582769, Coste con permutacion: 13660.126082565657

Permutacion Pos1: (102(Ciudad: 274)) -> Pos2: (221(Ciudad: 115)). Coste sin permutar: 13660.126082565657, Coste con permutacion: 13581.004203407747

Permutacion Pos1: (71(Ciudad: 115)) -> Pos2: (102(Ciudad: 201)). Coste sin permutar: 13581.004203407747, Coste con permutacion: 13531.408809180632

Permutacion Pos1: (26(Ciudad: 240)) -> Pos2: (270(Ciudad: 182)). Coste sin permutar: 13531.408809180632, Coste con permutacion: 13471.951682827757

Permutacion Pos1: (176(Ciudad: 110)) -> Pos2: (154(Ciudad: 116)). Coste sin permutar: 13471.951682827757, Coste con permutacion: 13440.4820443426

Permutacion Pos1: (14(Ciudad: 78)) -> Pos2: (261(Ciudad: 181)). Coste sin permutar: 13440.4820443426, Coste con permutacion: 13411.40072796054

Permutacion Pos1: (260(Ciudad: 93)) -> Pos2: (226(Ciudad: 75)). Coste sin permutar: 13411.40072796054, Coste con permutacion: 13368.198355065055

Permutacion Pos1: (226(Ciudad: 229)) -> Pos2: (212(Ciudad: 93)). Coste sin permutar: 13368.198355065055, Coste con permutacion: 13329.817736335592

Permutacion Pos1: (11(Ciudad: 169)) -> Pos2: (166(Ciudad: 177)). Coste sin permutar: 13329.817736335592, Coste con permutacion: 13265.962167693046

Permutacion Pos1: (52(Ciudad: 111)) -> Pos2: (93(Ciudad: 161)). Coste sin permutar: 13265.962167693046, Coste con permutacion: 13185.398500976235

Permutacion Pos1: (279(Ciudad: 70)) -> Pos2: (241(Ciudad: 247)). Coste sin permutar: 13185.398500976235, Coste con permutacion: 13136.757833560097

Permutacion Pos1: (89(Ciudad: 230)) -> Pos2: (211(Ciudad: 62)). Coste sin permutar: 13136.757833560097, Coste con permutacion: 13091.678027286696

Permutacion Pos1: (133(Ciudad: 159)) -> Pos2: (12(Ciudad: 256)). Coste sin permutar: 13091.678027286696, Coste con permutacion: 12986.238057910867

Permutacion Pos1: (40(Ciudad: 111)) -> Pos2: (93(Ciudad: 128)). Coste sin permutar: 12986.238057910867, Coste con permutacion: 12891.77096429389

Permutacion Pos1: (225(Ciudad: 269)) -> Pos2: (20(Ciudad: 96)). Coste sin permutar: 12891.77096429389, Coste con permutacion: 12853.407870301826

Permutacion Pos1: (261(Ciudad: 9)) -> Pos2: (267(Ciudad: 78)). Coste sin permutar: 12853.407870301826, Coste con permutacion: 12782.646353549208

Permutacion Pos1: (118(Ciudad: 111)) -> Pos2: (93(Ciudad: 135)). Coste sin permutar: 12782.646353549208, Coste con permutacion: 12700.60507704369

Permutacion Pos1: (36(Ciudad: 248)) -> Pos2: (206(Ciudad: 120)). Coste sin permutar: 12700.60507704369, Coste con permutacion: 12662.58005560375

Permutacion Pos1: (1(Ciudad: 243)) -> Pos2: (271(Ciudad: 148)). Coste sin permutar: 12662.58005560375, Coste con permutacion: 12601.820102646989

Permutacion Pos1: (120(Ciudad: 99)) -> Pos2: (230(Ciudad: 27)). Coste sin permutar: 12601.820102646989, Coste con permutacion: 12509.10180538943

Permutacion Pos1: (129(Ciudad: 18)) -> Pos2: (44(Ciudad: 204)). Coste sin permutar: 12509.10180538943, Coste con permutacion: 12287.701780556732

Permutacion Pos1: (230(Ciudad: 248)) -> Pos2: (206(Ciudad: 99)). Coste sin permutar: 12287.701780556732, Coste con permutacion: 12030.940946690682

Permutacion Pos1: (223(Ciudad: 202)) -> Pos2: (73(Ciudad: 68)). Coste sin permutar: 12030.940946690682, Coste con permutacion: 11974.93103827251

Permutacion Pos1: (72(Ciudad: 223)) -> Pos2: (170(Ciudad: 199)). Coste sin permutar: 11974.93103827251, Coste con permutacion: 11920.249582297542

Permutacion Pos1: (196(Ciudad: 160)) -> Pos2: (30(Ciudad: 36)). Coste sin permutar: 11920.249582297542, Coste con permutacion: 11899.936332684967

Permutacion Pos1: (21(Ciudad: 43)) -> Pos2: (86(Ciudad: 267)). Coste sin permutar: 11899.936332684967, Coste con permutacion: 11841.95151696792

Permutacion Pos1: (155(Ciudad: 175)) -> Pos2: (29(Ciudad: 88)). Coste sin permutar: 11841.95151696792, Coste con permutacion: 11805.500006084889

Permutacion Pos1: (157(Ciudad: 108)) -> Pos2: (125(Ciudad: 216)). Coste sin permutar: 11805.500006084889, Coste con permutacion: 11787.016440640276

Permutacion Pos1: (231(Ciudad: 270)) -> Pos2: (47(Ciudad: 98)). Coste sin permutar: 11787.016440640276, Coste con permutacion: 11706.597227601615

Permutacion Pos1: (257(Ciudad: 240)) -> Pos2: (270(Ciudad: 85)). Coste sin permutar: 11706.597227601615, Coste con permutacion: 11657.751366197203

Permutacion Pos1: (128(Ciudad: 181)) -> Pos2: (14(Ciudad: 196)). Coste sin permutar: 11657.751366197203, Coste con permutacion: 11615.30709476925

Permutacion Pos1: (30(Ciudad: 140)) -> Pos2: (18(Ciudad: 160)). Coste sin permutar: 11615.30709476925, Coste con permutacion: 11418.948687626953

